+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                                                                                                            ;
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                                                                                                                        ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
; U0|rst_controller_004|alt_rst_sync_uq1                                                                                                                                           ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|rst_controller_004                                                                                                                                                            ; 33    ; 31             ; 0            ; 31             ; 1      ; 31              ; 31            ; 31              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|rst_controller_003|alt_rst_req_sync_uq1                                                                                                                                       ; 2     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|rst_controller_003|alt_rst_sync_uq1                                                                                                                                           ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|rst_controller_003                                                                                                                                                            ; 33    ; 31             ; 0            ; 31             ; 1      ; 31              ; 31            ; 31              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|rst_controller_002|alt_rst_req_sync_uq1                                                                                                                                       ; 2     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|rst_controller_002|alt_rst_sync_uq1                                                                                                                                           ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|rst_controller_002                                                                                                                                                            ; 33    ; 30             ; 0            ; 30             ; 2      ; 30              ; 30            ; 30              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|rst_controller_001|alt_rst_req_sync_uq1                                                                                                                                       ; 2     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|rst_controller_001|alt_rst_sync_uq1                                                                                                                                           ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|rst_controller_001                                                                                                                                                            ; 33    ; 31             ; 0            ; 31             ; 1      ; 31              ; 31            ; 31              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|rst_controller|alt_rst_req_sync_uq1                                                                                                                                           ; 2     ; 1              ; 0            ; 1              ; 1      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|rst_controller|alt_rst_sync_uq1                                                                                                                                               ; 2     ; 0              ; 0            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|rst_controller                                                                                                                                                                ; 33    ; 31             ; 0            ; 31             ; 1      ; 31              ; 31            ; 31              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|irq_synchronizer                                                                                                                                                              ; 5     ; 0              ; 2            ; 0              ; 1      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|irq_mapper                                                                                                                                                                    ; 6     ; 28             ; 2            ; 28             ; 32     ; 28              ; 28            ; 28              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|mm_interconnect_0|limiter_pipeline_003|core                                                                                                                                   ; 145   ; 0              ; 0            ; 0              ; 143    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|mm_interconnect_0|limiter_pipeline_003                                                                                                                                        ; 147   ; 2              ; 0            ; 2              ; 143    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|mm_interconnect_0|limiter_pipeline_002|core                                                                                                                                   ; 145   ; 0              ; 0            ; 0              ; 143    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|mm_interconnect_0|limiter_pipeline_002                                                                                                                                        ; 147   ; 2              ; 0            ; 2              ; 143    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|mm_interconnect_0|limiter_pipeline_001|core                                                                                                                                   ; 145   ; 0              ; 0            ; 0              ; 143    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|mm_interconnect_0|limiter_pipeline_001                                                                                                                                        ; 147   ; 2              ; 0            ; 2              ; 143    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|mm_interconnect_0|limiter_pipeline|core                                                                                                                                       ; 145   ; 0              ; 0            ; 0              ; 143    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|mm_interconnect_0|limiter_pipeline                                                                                                                                            ; 147   ; 2              ; 0            ; 2              ; 143    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|mm_interconnect_0|crosser_027|clock_xer                                                                                                                                       ; 147   ; 0              ; 0            ; 0              ; 143    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|mm_interconnect_0|crosser_027                                                                                                                                                 ; 149   ; 2              ; 0            ; 2              ; 143    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|mm_interconnect_0|crosser_026|clock_xer                                                                                                                                       ; 147   ; 0              ; 0            ; 0              ; 143    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|mm_interconnect_0|crosser_026                                                                                                                                                 ; 149   ; 2              ; 0            ; 2              ; 143    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|mm_interconnect_0|crosser_025|clock_xer                                                                                                                                       ; 147   ; 0              ; 0            ; 0              ; 143    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|mm_interconnect_0|crosser_025                                                                                                                                                 ; 149   ; 2              ; 0            ; 2              ; 143    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|mm_interconnect_0|crosser_024|clock_xer                                                                                                                                       ; 147   ; 0              ; 0            ; 0              ; 143    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|mm_interconnect_0|crosser_024                                                                                                                                                 ; 149   ; 2              ; 0            ; 2              ; 143    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|mm_interconnect_0|crosser_023|clock_xer                                                                                                                                       ; 147   ; 0              ; 0            ; 0              ; 143    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|mm_interconnect_0|crosser_023                                                                                                                                                 ; 149   ; 2              ; 0            ; 2              ; 143    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|mm_interconnect_0|crosser_022|clock_xer                                                                                                                                       ; 147   ; 0              ; 0            ; 0              ; 143    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|mm_interconnect_0|crosser_022                                                                                                                                                 ; 149   ; 2              ; 0            ; 2              ; 143    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|mm_interconnect_0|crosser_021|clock_xer                                                                                                                                       ; 147   ; 0              ; 0            ; 0              ; 143    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|mm_interconnect_0|crosser_021                                                                                                                                                 ; 149   ; 2              ; 0            ; 2              ; 143    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|mm_interconnect_0|crosser_020|clock_xer                                                                                                                                       ; 147   ; 0              ; 0            ; 0              ; 143    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|mm_interconnect_0|crosser_020                                                                                                                                                 ; 149   ; 2              ; 0            ; 2              ; 143    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|mm_interconnect_0|crosser_019|clock_xer                                                                                                                                       ; 147   ; 0              ; 0            ; 0              ; 143    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|mm_interconnect_0|crosser_019                                                                                                                                                 ; 149   ; 2              ; 0            ; 2              ; 143    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|mm_interconnect_0|crosser_018|clock_xer                                                                                                                                       ; 147   ; 0              ; 0            ; 0              ; 143    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|mm_interconnect_0|crosser_018                                                                                                                                                 ; 149   ; 2              ; 0            ; 2              ; 143    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|mm_interconnect_0|crosser_017|clock_xer                                                                                                                                       ; 147   ; 0              ; 0            ; 0              ; 143    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|mm_interconnect_0|crosser_017                                                                                                                                                 ; 149   ; 2              ; 0            ; 2              ; 143    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|mm_interconnect_0|crosser_016|clock_xer                                                                                                                                       ; 147   ; 0              ; 0            ; 0              ; 143    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|mm_interconnect_0|crosser_016                                                                                                                                                 ; 149   ; 2              ; 0            ; 2              ; 143    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|mm_interconnect_0|crosser_015|clock_xer                                                                                                                                       ; 147   ; 0              ; 0            ; 0              ; 143    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|mm_interconnect_0|crosser_015                                                                                                                                                 ; 149   ; 2              ; 0            ; 2              ; 143    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|mm_interconnect_0|crosser_014|clock_xer                                                                                                                                       ; 147   ; 0              ; 0            ; 0              ; 143    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|mm_interconnect_0|crosser_014                                                                                                                                                 ; 149   ; 2              ; 0            ; 2              ; 143    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|mm_interconnect_0|crosser_013|clock_xer                                                                                                                                       ; 147   ; 0              ; 0            ; 0              ; 143    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|mm_interconnect_0|crosser_013                                                                                                                                                 ; 149   ; 2              ; 0            ; 2              ; 143    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|mm_interconnect_0|crosser_012|clock_xer                                                                                                                                       ; 147   ; 0              ; 0            ; 0              ; 143    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|mm_interconnect_0|crosser_012                                                                                                                                                 ; 149   ; 2              ; 0            ; 2              ; 143    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|mm_interconnect_0|crosser_011|clock_xer                                                                                                                                       ; 147   ; 0              ; 0            ; 0              ; 143    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|mm_interconnect_0|crosser_011                                                                                                                                                 ; 149   ; 2              ; 0            ; 2              ; 143    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|mm_interconnect_0|crosser_010|clock_xer                                                                                                                                       ; 147   ; 0              ; 0            ; 0              ; 143    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|mm_interconnect_0|crosser_010                                                                                                                                                 ; 149   ; 2              ; 0            ; 2              ; 143    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|mm_interconnect_0|crosser_009|clock_xer                                                                                                                                       ; 147   ; 0              ; 0            ; 0              ; 143    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|mm_interconnect_0|crosser_009                                                                                                                                                 ; 149   ; 2              ; 0            ; 2              ; 143    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|mm_interconnect_0|crosser_008|clock_xer                                                                                                                                       ; 147   ; 0              ; 0            ; 0              ; 143    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|mm_interconnect_0|crosser_008                                                                                                                                                 ; 149   ; 2              ; 0            ; 2              ; 143    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|mm_interconnect_0|crosser_007|clock_xer                                                                                                                                       ; 147   ; 0              ; 0            ; 0              ; 143    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|mm_interconnect_0|crosser_007                                                                                                                                                 ; 149   ; 2              ; 0            ; 2              ; 143    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|mm_interconnect_0|crosser_006|clock_xer                                                                                                                                       ; 147   ; 0              ; 0            ; 0              ; 143    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|mm_interconnect_0|crosser_006                                                                                                                                                 ; 149   ; 2              ; 0            ; 2              ; 143    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|mm_interconnect_0|crosser_005|clock_xer                                                                                                                                       ; 147   ; 0              ; 0            ; 0              ; 143    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|mm_interconnect_0|crosser_005                                                                                                                                                 ; 149   ; 2              ; 0            ; 2              ; 143    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|mm_interconnect_0|crosser_004|clock_xer                                                                                                                                       ; 147   ; 0              ; 0            ; 0              ; 143    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|mm_interconnect_0|crosser_004                                                                                                                                                 ; 149   ; 2              ; 0            ; 2              ; 143    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|mm_interconnect_0|crosser_003|clock_xer                                                                                                                                       ; 147   ; 0              ; 0            ; 0              ; 143    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|mm_interconnect_0|crosser_003                                                                                                                                                 ; 149   ; 2              ; 0            ; 2              ; 143    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|mm_interconnect_0|crosser_002|clock_xer                                                                                                                                       ; 147   ; 0              ; 0            ; 0              ; 143    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|mm_interconnect_0|crosser_002                                                                                                                                                 ; 149   ; 2              ; 0            ; 2              ; 143    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|mm_interconnect_0|crosser_001|clock_xer                                                                                                                                       ; 147   ; 0              ; 0            ; 0              ; 143    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|mm_interconnect_0|crosser_001                                                                                                                                                 ; 149   ; 2              ; 0            ; 2              ; 143    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|mm_interconnect_0|crosser|clock_xer                                                                                                                                           ; 147   ; 0              ; 0            ; 0              ; 143    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|mm_interconnect_0|crosser                                                                                                                                                     ; 149   ; 2              ; 0            ; 2              ; 143    ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|mm_interconnect_0|sdram_s1_cmd_width_adapter                                                                                                                                  ; 148   ; 3              ; 0            ; 3              ; 125    ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|mm_interconnect_0|sdram_s1_rsp_width_adapter|uncompressor                                                                                                                     ; 53    ; 4              ; 0            ; 4              ; 44     ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|mm_interconnect_0|sdram_s1_rsp_width_adapter                                                                                                                                  ; 130   ; 3              ; 0            ; 3              ; 143    ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|mm_interconnect_0|rsp_mux_002                                                                                                                                                 ; 145   ; 0              ; 2            ; 0              ; 143    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|mm_interconnect_0|rsp_mux_001|arb|adder                                                                                                                                       ; 8     ; 4              ; 0            ; 4              ; 4      ; 4               ; 4             ; 4               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|mm_interconnect_0|rsp_mux_001|arb                                                                                                                                             ; 6     ; 0              ; 4            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|mm_interconnect_0|rsp_mux_001                                                                                                                                                 ; 287   ; 0              ; 0            ; 0              ; 144    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|mm_interconnect_0|rsp_mux|arb|adder                                                                                                                                           ; 88    ; 44             ; 0            ; 44             ; 44     ; 44              ; 44            ; 44              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|mm_interconnect_0|rsp_mux|arb                                                                                                                                                 ; 26    ; 0              ; 4            ; 0              ; 22     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|mm_interconnect_0|rsp_mux                                                                                                                                                     ; 3127  ; 0              ; 0            ; 0              ; 164    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|mm_interconnect_0|rsp_demux_021                                                                                                                                               ; 145   ; 1              ; 2            ; 1              ; 143    ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|mm_interconnect_0|rsp_demux_020                                                                                                                                               ; 145   ; 1              ; 2            ; 1              ; 143    ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; U0|mm_interconnect_0|rsp_demux_019                                                                                                                                               ; 145   ; 1              ; 2            ; 1              ; 143    ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
